,Unnamed: 0_x,FUND_NAME,ADMINSTRATION_FEES,MANAGEMENT_FEES,Unnamed: 0_y,MULTI_MANAGER_STRUCTURE,NAME,SOFTCLOSING,SRC_UID,RISK_LEVEL,DATE_SHARE,CNT_SHARE,Strategy Capability,Capability IS Strategic
64,92,Milvus migrans,0.00226154,0.01261538,53,1,Milvus migrans,0.0,880886802006,High risk,28.05.2009,17,Thematic,Yes
65,94,Papilio canadensis,0.00067857,0.00255,54,1,Papilio canadensis,0.0,1489765858,Moderate / high risk,06.06.2002,14,Indexed Equities,No
66,95,Madoqua kirkii,0.00022857,0.00222857,55,0,Madoqua kirkii,0.0,1676124906944,Moderate / high risk,30.09.2009,14,Alternatives,No
67,138,Madoqua kirkii,0.00095,0.00283333,55,0,Madoqua kirkii,0.0,1676124906944,Moderate / high risk,30.09.2009,14,Alternatives,No
68,96,Chelodina longicollis,0.0012,0.00625,56,1,Chelodina longicollis,0.0,206670760,Moderate risk,18.08.1993,7,Multi Asset,Yes
69,98,Rana sp.,0.00258235,0.01347059,57,1,Rana sp.,0.0,105401395916,High risk,31.05.2005,18,Thematic,Yes
70,100,Charadrius tricollaris,0.00161818,0.00677273,59,1,Charadrius tricollaris,0.0,1461078666,Moderate / high risk,30.09.2002,11,Active Quant,No
71,126,Charadrius tricollaris,0.00014,0.0006,59,1,Charadrius tricollaris,0.0,1461078666,Moderate / high risk,30.09.2002,11,Active Quant,No
72,101,Trachyphonus vaillantii,0.00165789,0.00857895,60,1,Trachyphonus vaillantii,0.0,192290937586348,Moderate / high risk,30.11.2012,31,Active Quant,No
73,104,Ourebia ourebi,0.002485,0.01335,61,1,Ourebia ourebi,1.0,203221423898215,High risk,07.10.2015,23,Thematic,Yes
74,105,Spilogale gracilis,0.00075,0.00386,62,1,Spilogale gracilis,0.0,188703129863464,High risk,12.07.2011,12,Emerging Markets,Yes
75,106,Ephippiorhynchus mycteria,0.00194706,0.01170588,63,0,Ephippiorhynchus mycteria,0.0,638750702637,High risk,11.01.2008,18,Emerging Markets,Yes
76,107,Hymenolaimus malacorhynchus,0.00241176,0.01252941,64,1,Hymenolaimus malacorhynchus,1.0,207934051132,High risk,31.10.2006,18,Thematic,Yes
77,122,Hymenolaimus malacorhynchus,0.00185357,0.00651786,64,1,Hymenolaimus malacorhynchus,1.0,207934051132,High risk,31.10.2006,18,Thematic,Yes
78,108,Merops nubicus,0.00137273,0.00720909,65,1,Merops nubicus,0.0,197500691926156,Low / moderate risk,14.05.2014,29,Emerging Markets,Yes
79,109,Bassariscus astutus,0.00193182,0.00734091,66,1,Bassariscus astutus,0.0,880880278933,Moderate risk,16.06.2008,27,Emerging Markets,Yes
80,110,Falco mexicanus,0.00018,0.00045,67,0,Falco mexicanus,0.0,218465821,Low risk,29.09.2000,5,Money Market,No
81,111,Melursus ursinus,0.00027,0.00087,69,1,Melursus ursinus,0.0,206670690,Low risk,09.01.1998,10,Money Market,No
82,112,Butorides striatus,0.000275,0.001175,71,0,Butorides striatus,0.0,455157311,Low risk,15.03.2002,6,Money Market,No
83,114,Oreamnos americanus,0.00027692,0.00163077,73,1,Oreamnos americanus,0.0,206670688,Low risk,13.06.1995,12,Money Market,No
84,115,Lorythaixoides concolor,0.0001,0.00036667,75,0,Lorythaixoides concolor,0.0,196870559488652,Moderate risk,25.06.2014,16,Other,No
85,117,Amphibolurus barbatus,0.00252258,0.01477419,76,1,Amphibolurus barbatus,0.0,186711785308213,Moderate / high risk,12.05.2010,38,Thematic,Yes
86,118,Himantopus himantopus,0.0002,0.0002,77,0,Himantopus himantopus,0.0,737766433094,Low risk,14.03.2008,5,Money Market,No
87,119,Cabassous sp.,0.00027778,0.00043333,78,1,Cabassous sp.,0.0,880923451687,Low risk,16.06.2008,6,Money Market,No
88,120,Francolinus leucoscepus,0.00027778,0.00091111,80,1,Francolinus leucoscepus,0.0,880930580959,Low risk,16.06.2008,7,Money Market,No
89,124,Macaca fuscata,0.0007,0.00825,82,0,Macaca fuscata,1.0,437983596250,Moderate / high risk,31.10.2007,4,Core & Specialist Equities,No
90,127,Laniaurius atrococcineus,0.00025,0.004375,83,0,Laniaurius atrococcineus,0.0,189654246454691,Moderate / high risk,25.11.2011,9,Core & Specialist Equities,No
91,128,Felis concolor,0.0003,0.0015,84,0,Felis concolor,0.0,206670739,Moderate / high risk,13.03.2000,6,Indexed Equities,No
92,129,Alouatta seniculus,0.0003,0.0085,85,0,Alouatta seniculus,1.0,206670711,High risk,13.01.1994,5,Core & Specialist Equities,No
93,132,Tauraco porphyrelophus,0.00228667,0.01206667,86,1,Tauraco porphyrelophus,0.0,656760542396,High risk,29.09.2008,17,Thematic,Yes
94,137,Myiarchus tuberculifer,0.000805,0.00246,88,1,Myiarchus tuberculifer,0.0,206670721,Moderate / high risk,13.10.1999,24,Indexed Equities,No
95,139,Chloephaga melanoptera,0.00085,0.0025,90,1,Chloephaga melanoptera,0.0,38326395382,Low / moderate risk,18.09.2003,8,Credit,No
96,140,Myrmecobius fasciatus,0.00241176,0.01252941,91,1,Myrmecobius fasciatus,1.0,206670723,High risk,19.01.2000,19,Thematic,Yes
